Date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2022-01-01,389,705,2784,1406,605,608,342,180,58,13
2022-01-02,459,828,3294,1682,800,743,395,174,88,19
2022-01-03,654,1470,5372,2626,1263,1274,640,261,134,32
2022-01-04,805,1992,7046,3025,1628,1421,793,301,98,33
2022-01-05,776,2676,9464,3827,1863,1715,878,342,96,26
2022-01-06,743,2750,9179,3814,1906,1615,793,320,130,33
2022-01-07,2130,6283,19543,10367,5285,4274,1995,704,243,54
2022-01-08,2229,5606,14764,8772,5000,4190,2014,698,260,53
2022-01-09,1901,4383,11146,6761,4054,3422,1731,643,212,47
2022-01-10,2287,4284,11079,7052,4522,3827,1832,695,304,108
2022-01-11,2564,4215,10040,7395,4734,3815,2057,741,298,73
2022-01-12,2521,3939,8775,6959,4562,3717,2101,818,338,74
2022-01-13,2610,3632,7360,6482,4406,3604,1918,859,320,100
2022-01-14,2117,2779,5288,4840,3531,2602,1536,663,256,74
2022-01-15,2979,3229,5446,5464,3936,3205,1950,922,393,102
2022-01-16,2549,2585,4194,4376,3279,2495,1522,755,274,71
2022-01-17,2316,2348,3765,4186,2955,2243,1400,597,294,79
2022-01-18,2350,2306,4074,4394,3093,2159,1405,641,312,96
2022-01-19,2404,2321,3794,4456,2949,2120,1455,718,268,106
2022-01-20,2137,2027,3355,3752,2510,1865,1197,557,289,85
2022-01-21,2245,1876,2560,3182,2228,1554,1143,540,301,63
2022-01-22,1971,1602,2071,2441,1863,1303,872,454,171,59
2022-01-23,1800,1442,1842,2337,1606,1132,747,339,184,50
2022-01-24,2281,1860,2410,2989,2011,1324,945,464,201,68
2022-01-25,1925,1592,2291,2756,1933,1223,833,409,190,72
2022-01-26,1949,1692,2439,2894,1779,1281,827,407,187,56
2022-01-27,1787,1561,2277,2673,1803,1135,726,375,194,60
2022-01-28,1828,1618,2116,2424,1603,1034,715,374,157,59
2022-01-29,1621,1455,1700,2099,1537,859,608,336,120,36
2022-01-30,1600,1503,1617,2004,1417,821,535,264,105,31
2022-01-31,1831,1753,1906,2105,1503,991,591,272,122,32
2022-02-01,1900,2445,3085,2658,1713,1134,698,348,138,38
2022-02-02,1709,2067,2360,2253,1519,960,532,282,137,43
2022-02-03,1867,1992,1730,2004,1387,897,551,295,106,39
2022-02-04,1483,1309,1105,1403,975,584,397,196,86,32
2022-02-05,1379,1154,1006,1289,887,556,367,221,81,23
2022-02-06,1792,1567,1024,1420,1055,590,385,145,70,26
2022-02-07,2132,1942,1263,1669,1167,672,382,173,78,44
2022-02-08,1927,1864,1366,1714,1296,671,428,174,89,27
2022-02-09,1694,1718,1347,1702,1283,652,387,200,127,49
2022-02-10,1563,1466,1158,1580,1159,595,371,184,121,65
2022-02-11,1452,1387,877,1232,1003,505,317,155,77,27
2022-02-12,1424,1357,855,1212,962,523,360,176,76,28
2022-02-13,1559,1644,744,1135,938,474,277,127,50,16
2022-02-14,1838,1921,854,1359,999,519,257,128,85,27
2022-02-15,1681,1890,1015,1378,1011,485,250,148,59,26
2022-02-16,1625,1843,1175,1486,1175,561,278,130,53,14
2022-02-17,1274,1346,901,1226,1037,437,260,145,84,18
2022-02-18,1220,1297,753,1075,941,423,239,121,53,23
2022-02-19,961,983,572,864,732,340,182,101,30,11
2022-02-20,1168,1344,555,957,752,400,192,81,37,13
2022-02-21,1389,1644,791,1078,953,432,205,110,45,10
2022-02-22,1311,1525,894,1147,957,442,272,136,55,16
2022-02-23,1085,1460,935,1134,1031,470,292,137,45,7
2022-02-24,1039,1410,883,1135,921,430,283,130,50,13
2022-02-25,1016,1351,739,916,820,410,220,152,53,15
2022-02-26,790,1368,681,748,674,334,186,105,31,14
2022-02-27,939,1781,716,810,768,348,206,105,57,8
2022-02-28,1094,2260,897,891,782,426,238,101,51,12
2022-03-01,976,2049,1154,999,917,479,212,117,44,15
2022-03-02,822,1796,1304,1025,994,567,270,124,49,14
2022-03-03,851,1686,1112,927,915,486,238,128,53,8
2022-03-04,721,1532,844,769,855,466,247,137,36,7
2022-03-05,619,1466,686,685,704,431,207,102,49,5
2022-03-06,756,1757,694,713,776,429,224,136,42,14
2022-03-07,1001,2136,926,918,986,518,232,117,71,17
2022-03-08,846,1859,1027,1055,1095,546,275,150,49,18
2022-03-09,860,1759,1238,1211,1259,682,353,174,58,21
2022-03-10,844,1574,1002,1046,1059,573,342,155,58,14
2022-03-11,770,1492,767,961,947,529,261,153,56,15
2022-03-12,685,1267,647,799,791,436,238,127,48,12
2022-03-13,749,1403,638,824,877,475,250,144,39,9
2022-03-14,1036,2154,808,1057,1106,629,311,162,66,10
2022-03-15,1200,2394,1371,1408,1453,771,387,191,75,13
2022-03-16,1120,2017,1563,1681,1512,877,449,204,85,16
2022-03-17,977,1618,1673,1587,1432,826,445,205,76,6
2022-03-18,866,1407,1403,1299,1237,702,425,235,77,19
2022-03-19,787,1288,1006,1106,1021,621,403,216,89,22
2022-03-20,917,1696,1092,1153,1176,700,386,216,68,10
2022-03-21,1167,2098,1409,1516,1432,886,499,266,93,28
2022-03-22,1110,2003,1760,1781,1526,1030,596,311,114,27
2022-03-23,1032,1726,1821,1750,1546,1032,594,371,113,35
2022-03-24,979,1555,1517,1582,1414,947,566,305,113,30
2022-03-25,969,1453,1294,1425,1194,872,531,275,119,22
2022-03-26,948,1362,938,1235,1202,736,501,259,103,19
2022-03-27,1131,1864,1132,1370,1305,850,521,307,99,24
2022-03-28,1409,2289,1465,1749,1636,1083,613,293,149,39
2022-03-29,1370,2090,1761,1983,1809,1164,792,377,147,29
2022-03-30,1210,1723,1742,2064,1780,1181,780,372,151,45
2022-03-31,1133,1546,1530,1828,1679,1111,662,364,129,34
2022-04-01,1006,1424,1217,1543,1470,1008,649,348,141,46
2022-04-02,999,1297,1017,1385,1264,898,635,329,149,30
2022-04-03,1169,1598,1069,1550,1436,964,624,322,133,41
2022-04-04,1470,2047,1431,1821,1576,1158,722,421,185,46
2022-04-05,1329,1783,1764,2235,1874,1237,876,475,187,49
2022-04-06,1213,1624,1842,2277,1884,1322,879,502,227,76
2022-04-07,1187,1455,1650,2051,1730,1337,846,525,218,69
2022-04-08,1069,1321,1290,1684,1456,1045,744,488,198,53
