,"Population at 30 Sep 2021 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8186.8","24.2","0.3"
"Victoria","6643.1","-32.7","-0.5"
"Queensland","5240.5","57.8","1.1"
"South Australia","1772.8","2.6","0.1"
"Western Australia","2685.2","17.8","0.7"
"Tasmania","540.8","0.2","0.0"
"Northern Territory","245.9","-0.6","-0.2"
"Australian Capital Territory","430.5","-0.3","-0.1"
"Australia (a)","25750.2","68.9","0.3"

"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

"Source: Australian Bureau of Statistics, National, state and territory population September 2021"